date,year,month,month_name,quarter,entity,product,direction,programme,APP,ACH,ACC,APD,RE,FI,CO,APPROVAL_BROKEN,REALIZATION_BROKEN,REMOTE_RE
2022-01-01,2022,1,Jan,1,AIESEC in Ahmedabad,GTa,incoming,iGTa,16,0,0,0,1,0,0,0,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Ahmedabad,GV,incoming,iGV,6,1,0,0,0,0,0,1,1,0
2022-01-01,2022,1,Jan,1,AIESEC in Ahmedabad,GTa,outgoing,oGTa,4,0,0,0,0,0,0,0,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Ahmedabad,GTe,outgoing,oGTe,1,0,0,0,0,0,0,0,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Ahmedabad,GV,outgoing,oGV,4,0,0,0,0,0,0,0,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Bengaluru,GTe,incoming,iGTe,1,1,1,0,0,0,0,0,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Bengaluru,GV,incoming,iGV,4,0,0,0,0,0,0,0,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Bengaluru,GTa,outgoing,oGTa,26,1,1,1,0,0,0,0,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Bengaluru,GTe,outgoing,oGTe,1,0,0,0,0,0,0,0,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Bengaluru,GV,outgoing,oGV,16,7,7,1,1,0,0,0,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Chandigarh,GTa,incoming,iGTa,12,3,2,1,0,0,0,0,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Chandigarh,GTe,incoming,iGTe,64,0,0,0,0,0,0,0,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Chandigarh,GV,incoming,iGV,6,0,0,0,0,0,0,0,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Chandigarh,GTa,outgoing,oGTa,24,0,0,0,0,0,0,0,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Chandigarh,GV,outgoing,oGV,0,0,0,0,1,1,1,1,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Chennai,GTa,incoming,iGTa,0,0,0,0,0,2,0,0,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Chennai,GTa,outgoing,oGTa,23,0,0,0,0,0,0,0,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Chennai,GTe,outgoing,oGTe,1,0,0,0,0,0,0,0,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Chennai,GV,outgoing,oGV,14,6,3,0,0,0,0,2,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Closed [Bhubaneswar],GTa,outgoing,oGTa,2,0,0,0,0,0,0,0,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Closed [Dehradun],GV,incoming,iGV,17,10,5,1,0,0,0,0,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Closed [Dehradun],GV,outgoing,oGV,1,0,0,0,0,0,0,0,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Closed [IIT Kharagpur],GTa,outgoing,oGTa,1,0,0,0,0,0,0,0,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Closed [Jodhpur],GTe,incoming,iGTe,2,0,0,0,0,0,0,0,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Closed [Mysore],GTa,outgoing,oGTa,1,0,0,0,0,0,0,0,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Closed [Nagpur],GTa,outgoing,oGTa,7,0,0,0,0,0,0,0,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Closed [South Mumbai],GTa,outgoing,oGTa,4,0,0,0,0,0,0,0,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Closed [South Mumbai],GTe,outgoing,oGTe,11,0,0,0,0,0,0,0,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Closed [South Mumbai],GV,outgoing,oGV,1,0,0,0,1,0,0,1,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Closed [VIT],GTa,outgoing,oGTa,6,0,0,0,0,1,0,0,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Delhi IIT,GTa,incoming,iGTa,4,0,0,0,0,0,0,0,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Delhi IIT,GTe,incoming,iGTe,8,0,0,0,0,1,0,0,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Delhi IIT,GV,incoming,iGV,25,10,4,0,0,0,0,0,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Delhi IIT,GTa,outgoing,oGTa,123,0,0,0,0,0,0,0,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Delhi IIT,GTe,outgoing,oGTe,14,0,0,0,0,0,0,0,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Delhi IIT,GV,outgoing,oGV,47,10,2,0,2,0,0,0,1,0
2022-01-01,2022,1,Jan,1,AIESEC in Delhi University,GTa,incoming,iGTa,39,4,4,1,0,1,0,3,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Delhi University,GTe,incoming,iGTe,14,0,0,0,0,0,0,1,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Delhi University,GV,incoming,iGV,2,0,0,0,0,0,0,0,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Delhi University,GTa,outgoing,oGTa,76,0,0,0,1,1,1,1,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Delhi University,GTe,outgoing,oGTe,19,1,1,0,0,0,0,1,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Delhi University,GV,outgoing,oGV,32,13,8,0,0,0,0,3,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Hyderabad,GTe,incoming,iGTe,5,1,1,0,0,0,0,0,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Hyderabad,GV,incoming,iGV,1,1,0,0,0,0,0,0,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Hyderabad,GTa,outgoing,oGTa,33,0,0,0,0,0,0,0,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Hyderabad,GV,outgoing,oGV,10,7,7,0,0,0,0,3,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Indore,GV,outgoing,oGV,4,4,2,0,0,0,0,1,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Jaipur,GTa,incoming,iGTa,6,0,0,0,0,0,0,0,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Jaipur,GTa,outgoing,oGTa,1,0,0,0,0,0,0,0,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Jaipur,GV,outgoing,oGV,0,0,0,0,1,0,0,0,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Jalandhar,GTa,outgoing,oGTa,1,0,0,0,0,0,0,0,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Jalandhar,GV,outgoing,oGV,10,1,1,0,0,0,0,1,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Kolkata,GTa,incoming,iGTa,5,0,0,0,0,0,0,0,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Kolkata,GTa,outgoing,oGTa,18,0,0,0,0,0,0,0,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Kolkata,GTe,outgoing,oGTe,3,0,0,0,0,0,0,0,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Kolkata,GV,outgoing,oGV,2,1,0,0,0,0,0,0,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Ludhiana,GTa,outgoing,oGTa,1,0,0,0,0,0,0,0,0,0
2022-01-01,2022,1,Jan,1,AIESEC in M.A.H.E.,GTa,outgoing,oGTa,13,0,0,0,0,0,0,0,0,0
2022-01-01,2022,1,Jan,1,AIESEC in M.A.H.E.,GV,outgoing,oGV,5,1,1,0,0,0,0,0,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Mumbai,GV,incoming,iGV,3,2,0,0,0,0,0,1,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Mumbai,GTa,outgoing,oGTa,60,3,3,2,0,0,0,0,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Mumbai,GV,outgoing,oGV,3,3,3,0,0,1,0,1,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Navi Mumbai,GTa,incoming,iGTa,0,1,1,1,1,0,0,0,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Navi Mumbai,GTe,incoming,iGTe,1,0,0,0,1,0,0,0,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Navi Mumbai,GV,incoming,iGV,8,1,1,1,0,0,0,0,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Navi Mumbai,GTa,outgoing,oGTa,43,1,1,0,0,0,0,0,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Navi Mumbai,GTe,outgoing,oGTe,6,0,0,0,0,0,0,0,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Navi Mumbai,GV,outgoing,oGV,6,6,6,0,2,0,0,1,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Noida,GTa,outgoing,oGTa,6,0,0,0,0,0,0,0,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Noida,GV,outgoing,oGV,20,0,0,0,0,0,0,0,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Patiala,GV,incoming,iGV,1,0,0,0,0,0,0,0,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Patiala,GV,outgoing,oGV,1,1,1,0,0,0,0,0,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Pune,GV,incoming,iGV,2,1,1,1,0,0,0,0,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Pune,GTa,outgoing,oGTa,25,0,0,0,0,0,0,0,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Pune,GTe,outgoing,oGTe,1,0,0,0,0,0,0,0,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Pune,GV,outgoing,oGV,1,0,0,0,1,2,1,0,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Surat,GTa,outgoing,oGTa,42,2,1,0,0,0,0,0,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Surat,GTe,outgoing,oGTe,10,1,0,0,0,0,0,0,0,0
2022-01-01,2022,1,Jan,1,AIESEC in Surat,GV,outgoing,oGV,2,1,1,0,0,0,0,0,0,0
2022-02-01,2022,2,Feb,1,AIESEC in Ahmedabad,GTa,incoming,iGTa,25,4,3,2,0,0,0,1,0,0
2022-02-01,2022,2,Feb,1,AIESEC in Ahmedabad,GV,incoming,iGV,10,5,3,2,0,0,0,0,0,0
2022-02-01,2022,2,Feb,1,AIESEC in Ahmedabad,GTa,outgoing,oGTa,3,0,0,0,0,0,0,0,0,0
2022-02-01,2022,2,Feb,1,AIESEC in Ahmedabad,GTe,outgoing,oGTe,2,0,0,0,0,0,0,0,0,0
2022-02-01,2022,2,Feb,1,AIESEC in Ahmedabad,GV,outgoing,oGV,11,0,0,0,0,0,0,0,0,0
2022-02-01,2022,2,Feb,1,AIESEC in Bengaluru,GTe,incoming,iGTe,2,0,0,0,0,0,0,0,0,0
2022-02-01,2022,2,Feb,1,AIESEC in Bengaluru,GV,incoming,iGV,1,1,1,0,0,0,0,0,0,0
2022-02-01,2022,2,Feb,1,AIESEC in Bengaluru,GTa,outgoing,oGTa,6,1,1,0,1,0,0,0,0,0
2022-02-01,2022,2,Feb,1,AIESEC in Bengaluru,GV,outgoing,oGV,18,7,4,1,0,1,1,0,0,0
2022-02-01,2022,2,Feb,1,AIESEC in Chandigarh,GTa,incoming,iGTa,2,1,0,0,1,0,0,2,0,0
2022-02-01,2022,2,Feb,1,AIESEC in Chandigarh,GTe,incoming,iGTe,28,0,0,0,0,0,0,2,0,0
