date,APP,ACH,ACC,APD,RE,FI,CO,year,month,month_name,quarter
2022-01-01,841,360,246,194,148,134,119,2022,1,Jan,1
2022-02-01,672,285,191,157,118,110,103,2022,2,Feb,1
2022-03-01,725,306,207,159,121,109,99,2022,3,Mar,1
2022-04-01,745,334,222,183,131,122,107,2022,4,Apr,2
2022-05-01,969,420,298,242,175,157,135,2022,5,May,2
2022-06-01,964,430,276,224,164,154,135,2022,6,Jun,2
2022-07-01,760,342,241,194,139,128,111,2022,7,Jul,3
2022-08-01,693,309,195,164,138,134,120,2022,8,Aug,3
2022-09-01,755,311,212,160,111,102,90,2022,9,Sep,3
2022-10-01,748,342,228,160,115,113,101,2022,10,Oct,4
2022-11-01,916,397,242,192,149,139,128,2022,11,Nov,4
2022-12-01,1066,501,322,263,206,190,179,2022,12,Dec,4
2023-01-01,1269,540,360,299,215,202,181,2023,1,Jan,1
2023-02-01,896,420,302,241,177,167,150,2023,2,Feb,1
2023-03-01,1030,469,325,274,206,198,180,2023,3,Mar,1
2023-04-01,1167,512,356,306,238,230,212,2023,4,Apr,2
2023-05-01,1450,620,414,330,249,237,218,2023,5,May,2
2023-06-01,1489,666,469,365,285,269,245,2023,6,Jun,2
2023-07-01,1303,581,397,320,246,234,216,2023,7,Jul,3
2023-08-01,1100,471,337,281,206,189,167,2023,8,Aug,3
2023-09-01,1126,509,337,261,192,182,165,2023,9,Sep,3
2023-10-01,1193,520,354,292,194,182,164,2023,10,Oct,4
2023-11-01,1306,567,374,311,224,208,190,2023,11,Nov,4
2023-12-01,1707,728,495,405,310,291,263,2023,12,Dec,4
2024-01-01,1476,667,481,400,296,283,264,2024,1,Jan,1
2024-02-01,1072,496,352,287,226,215,205,2024,2,Feb,1
2024-03-01,1121,497,340,285,210,202,192,2024,3,Mar,1
2024-04-01,1242,558,373,304,242,227,212,2024,4,Apr,2
2024-05-01,1685,767,565,470,363,338,314,2024,5,May,2
2024-06-01,1656,719,496,390,329,309,288,2024,6,Jun,2
2024-07-01,1416,595,399,315,250,237,214,2024,7,Jul,3
2024-08-01,1276,569,401,321,238,232,218,2024,8,Aug,3
2024-09-01,1337,602,426,354,267,261,232,2024,9,Sep,3
2024-10-01,1395,626,445,356,279,268,246,2024,10,Oct,4
2024-11-01,1531,659,478,401,314,290,272,2024,11,Nov,4
2024-12-01,1976,857,600,501,380,368,339,2024,12,Dec,4
2025-01-01,1676,733,526,451,363,352,333,2025,1,Jan,1
2025-02-01,1138,486,364,305,249,235,218,2025,2,Feb,1
2025-03-01,1309,610,443,356,275,262,250,2025,3,Mar,1
2025-04-01,1353,607,442,376,294,281,258,2025,4,Apr,2
2025-05-01,1702,765,538,451,365,353,322,2025,5,May,2
2025-06-01,1894,840,583,487,387,370,342,2025,6,Jun,2
2025-07-01,1510,686,491,417,325,312,294,2025,7,Jul,3
2025-08-01,1315,595,422,353,264,249,233,2025,8,Aug,3
2025-09-01,1331,604,430,358,281,272,263,2025,9,Sep,3
2025-10-01,1482,658,474,398,309,301,276,2025,10,Oct,4
2025-11-01,1569,717,496,407,313,296,282,2025,11,Nov,4
2025-12-01,1950,870,642,547,434,415,391,2025,12,Dec,4
