rank,entity,APP,ACH,ACC,APD,RE,FI,CO,mc_share_pct,app_to_re_pct,avg_monthly_applications,consistency_cv,growth_pct,growth_period
1,AIESEC in Delhi IIT,10611,4622,3225,2664,2094,2004,1852,17.6,19.73,221.1,0.282,74.1,2022->2025
2,AIESEC in Delhi University,6125,2728,1859,1510,1152,1100,1017,10.16,18.81,127.6,0.306,95.2,2022->2025
3,AIESEC in Mumbai,5265,2318,1637,1384,1069,1002,937,8.73,20.3,109.7,0.301,81.5,2022->2025
4,AIESEC in Pune,4310,1946,1347,1111,840,800,750,7.15,19.49,89.8,0.288,91.7,2022->2025
5,AIESEC in Chennai,3502,1586,1116,933,697,669,599,5.81,19.9,73.0,0.298,83.3,2022->2025
6,AIESEC in Bangalore,3099,1369,928,770,575,548,504,5.14,18.55,64.6,0.32,100.4,2022->2025
7,AIESEC in Hyderabad,3071,1346,934,753,577,546,498,5.09,18.79,64.0,0.312,71.1,2022->2025
8,AIESEC in Kolkata,2773,1225,867,706,555,523,484,4.6,20.01,57.8,0.301,92.2,2022->2025
9,AIESEC in Lucknow,2234,972,636,510,381,357,336,3.7,17.05,46.5,0.298,100.0,2022->2025
10,AIESEC in Jaipur,2194,965,698,560,434,418,377,3.64,19.78,45.7,0.291,88.5,2022->2025
11,AIESEC in Ahmedabad,2071,923,660,546,418,394,365,3.43,20.18,43.1,0.31,75.7,2022->2025
12,AIESEC in Chandigarh,2005,880,595,485,363,343,316,3.32,18.1,41.8,0.324,84.0,2022->2025
13,AIESEC in Indore,2004,862,604,487,362,343,317,3.32,18.06,41.8,0.33,106.6,2022->2025
14,AIESEC in Nagpur,1892,864,602,479,366,346,317,3.14,19.34,39.4,0.293,63.4,2022->2025
15,AIESEC in Manipal,1655,738,502,403,322,304,267,2.74,19.46,34.5,0.323,84.9,2022->2025
16,AIESEC in Bhubaneswar,1619,720,531,442,351,330,298,2.68,21.68,33.7,0.321,96.1,2022->2025
17,AIESEC in Kochi,1614,760,530,432,338,312,279,2.68,20.94,33.6,0.34,88.3,2022->2025
18,AIESEC in Surat,1509,663,470,377,279,254,240,2.5,18.49,31.4,0.33,73.1,2022->2025
19,AIESEC in Coimbatore,1486,680,481,398,297,285,268,2.46,19.99,31.0,0.375,102.7,2022->2025
20,AIESEC in Vellore,1263,556,385,317,240,231,215,2.09,19.0,26.3,0.353,80.3,2022->2025
