feature,importance
is_break_season,65.490511
days_in_month,47.952581
lag_6,40.473507
month_cos2,34.682486
same_month_mean,32.426045
yoy_growth,31.451941
op_entity_hhi,27.033639
roll_mean_6,24.88577
is_year_end,24.24642
op_app_to_ach_pct,23.94653
lag_1,23.136202
op_realizations,20.677292
month_sin,20.651224
lag_3,20.101013
month_sin2,19.168541
trend_slope_6,16.783026
is_semester_start,15.242532
season_code,14.804087
roll_std_6,14.19333
roll_mean_3,14.015384
lag1_over_roll12,13.520333
month_cos,13.092006
roll_std_3,12.875352
lag1_over_lag12,11.68974
op_gv_share,11.68819
mom_growth,11.145216
lag_2,11.143696
roll_mean_12,11.14149
month,11.06898
roll_max_12,9.581254
lag_12,8.064621
op_app_to_re_pct,7.744776
year,6.769909
roll_std_12,4.293789
op_outgoing_share,3.602258
quarter,3.212773
month_index,2.70695
is_exam_season,2.677127
roll_min_12,2.065423
op_active_entities,0.0
