model,family,explainability,origins_evaluated,MAE,RMSE,MAPE,sMAPE,error_std,max_abs_error,bias,n,within_tolerance,explainability_rank,accuracy_norm,stability_norm,explainability_norm,composite_score,selected
ridge,linear,2,24,92.4855,116.3229,6.4349,6.2282,70.5512,356.7312,-45.3429,24,True,2.0,0.0,0.0,0.0,0.0,True
holt_winters,timeseries,3,24,101.4406,138.283,7.3003,6.9353,93.9786,314.3899,-36.7336,24,False,3.0,,,,,False
random_forest,ensemble,4,24,116.9426,148.2475,7.9997,7.8974,91.114,385.542,-11.8706,24,False,4.0,,,,,False
linear_regression,linear,2,24,123.7894,152.1218,8.5814,8.4869,88.4152,331.6845,-26.7586,24,False,2.0,,,,,False
xgboost,ensemble,4,24,124.3658,160.1841,8.6706,8.5957,100.9559,407.5898,0.1673,24,False,4.0,,,,,False
gradient_boosting,ensemble,4,24,126.195,156.1886,8.9154,8.7901,92.0309,379.5216,-10.1387,24,False,4.0,,,,,False
seasonal_naive_drift,baseline,1,24,128.4183,170.3961,9.175,8.4814,111.9982,360.2381,-113.7767,24,False,1.0,,,,,False
seasonal_naive,baseline,1,24,135.7083,157.0479,9.2544,9.8509,79.0398,269.0,133.0417,24,False,1.0,,,,,False
sarima,timeseries,3,24,160.2845,306.9701,11.6947,9.8394,261.8005,1213.3742,-104.9816,24,False,3.0,,,,,False
moving_average_6,baseline,1,24,188.9236,236.2326,12.6191,12.7454,141.8228,540.8333,35.9792,24,False,1.0,,,,,False
naive_last,baseline,1,24,215.2083,263.1594,14.6835,14.3209,151.4538,538.0,10.125,24,False,1.0,,,,,False
moving_average_3,baseline,1,24,265.0,320.0762,18.1563,17.8923,179.5098,589.6667,21.4444,24,False,1.0,,,,,False
