year,month,APP,month_name,contribution_pct,vs_even_split_pp,rank_in_year
2022,1,1038,Jan,7.48,-0.85,11
2022,2,615,Feb,4.43,-3.9,12
2022,3,1184,Mar,8.53,0.2,6
2022,4,1208,Apr,8.71,0.38,4
2022,5,1537,May,11.08,2.75,1
2022,6,1225,Jun,8.83,0.5,3
2022,7,1042,Jul,7.51,-0.82,10
2022,8,1167,Aug,8.41,0.08,7
2022,9,1102,Sep,7.94,-0.39,8
2022,10,1191,Oct,8.58,0.25,5
2022,11,1485,Nov,10.7,2.37,2
2022,12,1080,Dec,7.78,-0.55,9
2023,1,845,Jan,5.45,-2.88,12
2023,2,940,Feb,6.06,-2.27,11
2023,3,2050,Mar,13.22,4.89,1
2023,4,1622,Apr,10.46,2.13,2
2023,5,1507,May,9.72,1.39,3
2023,6,1406,Jun,9.06,0.73,4
2023,7,1223,Jul,7.88,-0.45,8
2023,8,1296,Aug,8.36,0.03,5
2023,9,1263,Sep,8.14,-0.19,6
2023,10,1130,Oct,7.29,-1.04,9
2023,11,1242,Nov,8.01,-0.32,7
2023,12,987,Dec,6.36,-1.97,10
2024,1,1018,Jan,5.77,-2.56,12
2024,2,1277,Feb,7.24,-1.09,9
2024,3,2109,Mar,11.96,3.63,1
2024,4,1796,Apr,10.18,1.85,3
2024,5,2036,May,11.54,3.21,2
2024,6,1463,Jun,8.29,-0.04,4
2024,7,1303,Jul,7.39,-0.94,8
2024,8,1252,Aug,7.1,-1.23,10
2024,9,1349,Sep,7.65,-0.68,7
2024,10,1412,Oct,8.0,-0.33,6
2024,11,1432,Nov,8.12,-0.21,5
2024,12,1192,Dec,6.76,-1.57,11
2025,1,1193,Jan,6.2,-2.13,11
2025,2,1293,Feb,6.72,-1.61,9
2025,3,1804,Mar,9.38,1.05,3
2025,4,2245,Apr,11.68,3.35,1
2025,5,1744,May,9.07,0.74,5
2025,6,1158,Jun,6.02,-2.31,12
2025,7,1253,Jul,6.52,-1.81,10
2025,8,2025,Aug,10.53,2.2,2
2025,9,1660,Sep,8.63,0.3,7
2025,10,1716,Oct,8.92,0.59,6
2025,11,1781,Nov,9.26,0.93,4
2025,12,1357,Dec,7.06,-1.27,8
