date,APP,ACH,ACC,APD,RE,FI,CO,year,month,month_name,period,mom_growth_pct,yoy_growth_pct,rolling_3m,rolling_12m,cumulative_APP,app_to_re_pct
2022-01-01,1038,106,69,10,13,10,3,2022,1,Jan,2022-01,,,1038.0,1038.0,1038,1.2524084778420037
2022-02-01,615,103,68,35,8,8,6,2022,2,Feb,2022-02,-40.7514450867052,,826.5,826.5,1653,1.3008130081300813
2022-03-01,1184,237,124,30,7,7,1,2022,3,Mar,2022-03,92.52032520325204,,945.6666666666666,945.6666666666666,2837,0.5912162162162162
2022-04-01,1208,230,127,53,9,10,2,2022,4,Apr,2022-04,2.0270270270270174,,1002.3333333333334,1011.25,4045,0.7450331125827815
2022-05-01,1537,205,141,78,14,7,6,2022,5,May,2022-05,27.23509933774835,,1309.6666666666667,1116.4,5582,0.9108653220559532
2022-06-01,1225,159,105,52,37,13,11,2022,6,Jun,2022-06,-20.299284320104093,,1323.3333333333333,1134.5,6807,3.0204081632653064
2022-07-01,1042,132,89,42,101,30,19,2022,7,Jul,2022-07,-14.938775510204083,,1268.0,1121.2857142857142,7849,9.692898272552783
2022-08-01,1167,119,68,44,69,92,71,2022,8,Aug,2022-08,11.99616122840692,,1144.6666666666667,1127.0,9016,5.912596401028278
2022-09-01,1102,133,99,40,42,55,27,2022,9,Sep,2022-09,-5.569837189374461,,1103.6666666666667,1124.2222222222222,10118,3.8112522686025407
2022-10-01,1191,152,87,39,21,28,14,2022,10,Oct,2022-10,8.076225045372043,,1153.3333333333333,1130.9,11309,1.7632241813602016
2022-11-01,1485,240,152,59,17,23,12,2022,11,Nov,2022-11,24.685138539042818,,1259.3333333333333,1163.090909090909,12794,1.144781144781145
2022-12-01,1080,204,152,50,28,19,12,2022,12,Dec,2022-12,-27.27272727272727,,1252.0,1156.1666666666667,13874,2.5925925925925926
2023-01-01,845,76,55,27,49,26,16,2023,1,Jan,2023-01,-21.759259259259256,-18.593448940269752,1136.6666666666667,1140.0833333333333,14719,5.798816568047338
2023-02-01,940,138,81,41,37,30,12,2023,2,Feb,2023-02,11.242603550295849,52.845528455284565,955.0,1167.1666666666667,15659,3.9361702127659575
2023-03-01,2050,442,279,116,22,53,34,2023,3,Mar,2023-03,118.08510638297874,73.14189189189189,1278.3333333333333,1239.3333333333333,17709,1.0731707317073171
2023-04-01,1622,334,200,93,22,26,8,2023,4,Apr,2023-04,-20.878048780487802,34.27152317880795,1537.3333333333333,1273.8333333333333,19331,1.3563501849568433
2023-05-01,1507,278,213,107,31,13,6,2023,5,May,2023-05,-7.09001233045623,-1.951854261548469,1726.3333333333333,1271.3333333333333,20838,2.05706702057067
2023-06-01,1406,175,119,59,119,32,15,2023,6,Jun,2023-06,-6.702057067020572,14.775510204081632,1511.6666666666667,1286.4166666666667,22244,8.463726884779517
2023-07-01,1223,140,90,70,159,93,51,2023,7,Jul,2023-07,-13.015647226173543,17.37044145873321,1378.6666666666667,1301.5,23467,13.000817661488142
2023-08-01,1296,128,89,28,94,161,100,2023,8,Aug,2023-08,5.968928863450529,11.053984575835486,1308.3333333333333,1312.25,24763,7.253086419753087
2023-09-01,1263,217,142,46,57,120,84,2023,9,Sep,2023-09,-2.546296296296291,14.609800362976411,1260.6666666666667,1325.6666666666667,26026,4.513064133016627
2023-10-01,1130,182,108,33,22,54,31,2023,10,Oct,2023-10,-10.530482977038801,-5.121746431570107,1229.6666666666667,1320.5833333333333,27156,1.9469026548672566
2023-11-01,1242,235,158,64,17,27,12,2023,11,Nov,2023-11,9.911504424778773,-16.36363636363637,1211.6666666666667,1300.3333333333333,28398,1.3687600644122384
2023-12-01,987,180,115,53,35,17,5,2023,12,Dec,2023-12,-20.531400966183575,-8.611111111111114,1119.6666666666667,1292.5833333333333,29385,3.546099290780142
2024-01-01,1018,139,87,30,36,36,27,2024,1,Jan,2024-01,3.1408308004052587,20.47337278106509,1082.3333333333333,1307.0,30403,3.536345776031434
2024-02-01,1277,177,130,66,27,29,19,2024,2,Feb,2024-02,25.442043222003917,35.85106382978724,1094.0,1335.0833333333333,31680,2.11433046202036
2024-03-01,2109,388,231,111,18,31,19,2024,3,Mar,2024-03,65.15270164447924,2.8780487804878074,1468.0,1340.0,33789,0.8534850640113799
2024-04-01,1796,315,183,101,12,33,21,2024,4,Apr,2024-04,-14.841156946420108,10.727496917385949,1727.3333333333333,1354.5,35585,0.6681514476614699
2024-05-01,2036,286,198,120,65,15,7,2024,5,May,2024-05,13.363028953229406,35.10285335102854,1980.3333333333333,1398.5833333333333,37621,3.192534381139489
