month,month_name,mean_applications,median_applications,std_applications,min_applications,max_applications,observations,seasonal_index,season_label
1,Jan,1023.5,1028.0,142.4,845,1193,4,0.742,Low
2,Feb,1031.25,1108.5,321.712,615,1293,4,0.747,Low
3,Mar,1786.75,1927.0,422.986,1184,2109,4,1.294,High
4,Apr,1717.75,1709.0,429.391,1208,2245,4,1.245,High
5,May,1706.0,1640.5,243.93,1507,2036,4,1.236,High
6,Jun,1313.0,1315.5,144.819,1158,1463,4,0.951,Medium
7,Jul,1205.25,1238.0,113.726,1042,1303,4,0.873,Medium
8,Aug,1435.0,1274.0,396.961,1167,2025,4,1.04,Medium
9,Sep,1343.5,1306.0,234.524,1102,1660,4,0.973,Medium
10,Oct,1362.25,1301.5,265.129,1130,1716,4,0.987,Medium
11,Nov,1485.0,1458.5,223.214,1242,1781,4,1.076,Medium
12,Dec,1154.0,1136.0,159.183,987,1357,4,0.836,Low
